MachineID,Model Revision,Lot Number,Sub Lot Number,Index,Lane,Panel Barcode,Date,Panel Result,ModuleID,Module Name,Grouping Module Barcode,Module Barcode,Module Result,Location Name,Component Code,Sub Code,Comp. Barcode,Comp.Result,Rep.Defect,SizeX,SizeY,OffsetX,OffsetY,M.OffsetX,M.OffsetY,T.OffsetX,T.OffsetY,Rotation,BodyLift,BodyLiftAngle,Height,Height(%),Area,Area(%),Volume,Volume(%),Coplanarity,TopGray,BridgeComponents,IPC,User Module 1,User Module 2,Lift ROI,Lift Min,Lift Max,B.OffsetX,B.OffsetY,B.Length,B.Width,M.Interference Left,M.Interference Right,M.Interference Top,M.Interference Bottom,C.Interference Location,C.Interference Distance,Gap Height(Die to Ball),Measure Pos,Feature Distance
1,,,,16,Front,CC-CCC,2023-09-15 11:50:28,NG,1,Board1,,,NG,C314,453564169721-0001,,,GOOD,,1844.260,1157.010,-40.147,-24.805,-24.805,40.147,0,0,1.286,25.703,1.163,1237.350,96.668,2554500.000,119.714,0,0,0,176,,,,,1250.199|1224.496,0,0,0,0,0,0,0,0,0,0,,0,0,,
1,,,,16,Front,CC-CCC,2023-09-15 11:50:28,NG,1,Board1,,,NG,C315,0160-9250-0001,,,GOOD,,1520.980,811.875,-64.490,2.487,64.490,-2.487,0,0,1.137,8.032,0.041,813.251,95.677,1346800.000,109.066,0,0,0,0,,,,,817.267|809.235,0,0,0,0,0,0,0,0,0,0,,0,0,,
1,,,,16,Front,CC-CCC,2023-09-15 11:50:28,NG,1,Board1,,,NG,C410,0160-9275-0001,,,GOOD,,900.982,499.967,-23.054,-30.948,30.948,-23.054,0,0,1.739,10.442,0.636,484.336,98.844,509500.000,113.106,0,0,0,0,,,,,479.115|489.557,0,0,0,0,0,0,0,0,0,0,,0,0,,
1,,,,16,Front,CC-CCC,2023-09-15 11:50:28,NG,1,Board1,,,NG,C450,0160-9432-0001,,,GOOD,,1846.710,1157.450,-13.561,52.890,52.890,13.561,0,0,1.364,4.016,0.762,1173.490,102.043,2376500.000,111.183,0,0,0,136,,,,,1175.500|1171.484,0,0,0,0,0,0,0,0,0,0,,0,0,,
1,,,,16,Front,CC-CCC,2023-09-15 11:50:28,NG,1,Board1,,,NG,C451,0160-9213-0001,,,GOOD,,915.056,457.528,2.460,-11.225,11.225,2.460,0,0,1.797,6.426,0.671,468.673,97.640,455100.000,108.703,0,0,0,0,,,,,465.460|471.886,0,0,0,0,0,0,0,0,0,0,,0,0,,
1,,,,16,Front,CC-CCC,2023-09-15 11:50:28,NG,1,Board1,,,NG,C452,0160-9432-0001,,,GOOD,,1846.710,1157.450,60.160,45.770,-60.160,-45.770,0,0,4.214,16.064,0.690,1142.570,99.354,2325700.000,108.806,0,0,0,141,,,,,1150.601|1134.536,0,0,0,0,0,0,0,0,0,0,,0,0,,
1,,,,16,Front,CC-CCC,2023-09-15 11:50:28,NG,1,Board1,,,NG,C455,0160-9432-0001,,,GOOD,,1846.710,1157.450,-2.304,-8.904,-8.904,2.304,0,0,1.152,22.490,0.544,1132.130,98.446,2301500.000,107.674,0,0,0,144,,,,,1143.372|1120.882,0,0,0,0,0,0,0,0,0,0,,0,0,,
1,,,,16,Front,CC-CCC,2023-09-15 11:50:28,NG,1,Board1,,,NG,C457,0160-9432-0001,,,GOOD,,1846.710,1157.450,16.809,-23.971,23.971,16.809,0,0,1.435,16.064,0.798,1226.100,106.618,2200000.000,102.925,0,0,0,116,,,,,1218.071|1234.135,0,0,0,0,0,0,0,0,0,0,,0,0,,
1,,,,16,Front,CC-CCC,2023-09-15 11:50:28,NG,1,Board1,,,NG,C460,0160-9213-0001,,,GOOD,,915.056,457.528,-17.895,3.342,3.342,17.895,0,0,0.726,7.229,1.073,471.484,98.226,456200.000,108.966,0,0,0,0,,,,,475.099|467.870,0,0,0,0,0,0,0,0,0,0,,0,0,,
1,,,,16,Front,CC-CCC,2023-09-15 11:50:28,NG,1,Board1,,,NG,C461,0160-9213-0001,,,GOOD,,915.056,457.528,-20.298,4.848,4.848,20.298,0,0,-0.178,8.835,1.341,463.452,96.553,452000.000,107.963,0,0,0,0,,,,,467.870|459.034,0,0,0,0,0,0,0,0,0,0,,0,0,,
