MachineID,Model Revision,Lot Number,Sub Lot Number,Index,Lane,Panel Barcode,Date,Panel Result,ModuleID,Module Name,Grouping Module Barcode,Module Barcode,Module Result,Location Name,Component Code,Sub Code,Comp. Barcode,Comp.Result,Rep.Defect,SizeX,SizeY,OffsetX,OffsetY,M.OffsetX,M.OffsetY,T.OffsetX,T.OffsetY,Rotation,BodyLift,BodyLiftAngle,Height,Height(%),Area,Area(%),Volume,Volume(%),Coplanarity,TopGray,BridgeComponents,IPC,User Module 1,User Module 2,Lift ROI,Lift Min,Lift Max,B.OffsetX,B.OffsetY,B.Length,B.Width,M.Interference Left,M.Interference Right,M.Interference Top,M.Interference Bottom,C.Interference Location,C.Interference Distance,Gap Height(Die to Ball),Measure Pos,Feature Distance
1,,,,78,Front,DD-DDD,2023-09-13 16:18:11,NG,1,Board1,,,NG,C201,453564096771-0001,,,GOOD,,3136.410,2273.900,-46.162,61.395,61.395,46.162,0,0,-0.058,13.655,0.276,2455.420,96.291,7797700.000,109.336,0,0,0,0,,,,,2462.247|2448.593,0,0,0,0,0,0,0,0,0,0,,0,0,,
1,,,,78,Front,DD-DDD,2023-09-13 16:18:11,NG,1,Board1,,,NG,C202,453564096771-0001,,,GOOD,,3136.410,2273.900,-13.541,19.401,19.401,13.541,0,0,0.864,19.277,0.069,2451.000,96.118,7720500.000,108.253,0,0,0,0,,,,,2460.641|2441.364,0,0,0,0,0,0,0,0,0,0,,0,0,,
1,,,,78,Front,DD-DDD,2023-09-13 16:18:11,NG,1,Board1,,,NG,C203,453564096771-0001,,,GOOD,,3136.410,2273.900,-28.964,24.549,24.549,28.964,0,0,-0.693,9.639,0.368,2448.590,96.023,7707800.000,108.075,0,0,0,0,,,,,2453.412|2443.773,0,0,0,0,0,0,0,0,0,0,,0,0,,
1,,,,78,Front,DD-DDD,2023-09-13 16:18:11,NG,1,Board1,,,NG,C204,453564872711-0001,,,GOOD,,1490.370,783.401,-29.328,-60.774,-60.774,29.328,0,0,-0.058,20.884,0.335,822.087,100.254,1371400.000,117.459,0,0,0,0,,,,,832.528|811.645,0,0,0,0,0,0,0,0,0,0,,0,0,,
1,,,,78,Front,DD-DDD,2023-09-13 16:18:11,NG,1,Board1,,,NG,C205,0160-9250-0001,,,GOOD,,1520.980,811.875,-38.481,7.711,-38.481,7.711,0,0,-0.170,1.606,0.413,830.119,97.661,1330300.000,107.730,0,0,0,0,,,,,830.922|829.316,0,0,0,0,0,0,0,0,0,0,,0,0,,
1,,,,78,Front,DD-DDD,2023-09-13 16:18:11,NG,1,Board1,,,NG,C206,453564110601-0001,,,GOOD,,1911.430,1170.970,30.166,-114.471,-114.471,-30.166,0,0,-2.203,21.687,0.249,1225.700,98.847,2306800.000,103.064,0,0,0,0,,,,,1236.545|1214.858,0,0,0,0,0,0,0,0,0,0,,0,0,,
1,,,,78,Front,DD-DDD,2023-09-13 16:18:11,NG,1,Board1,,,NG,C207,453564110601-0001,,,GOOD,,1911.430,1170.970,-17.620,-34.180,34.180,-17.620,0,0,-0.244,2.410,0.817,1213.650,97.875,2326100.000,103.926,0,0,0,0,,,,,1214.858|1212.448,0,0,0,0,0,0,0,0,0,0,,0,0,,
1,,,,78,Front,DD-DDD,2023-09-13 16:18:11,NG,1,Board1,,,NG,C208,453564110601-0001,,,GOOD,,1911.430,1170.970,13.731,-49.379,49.379,13.731,0,0,-0.433,3.213,0.462,1228.510,99.074,2312800.000,103.332,0,0,0,0,,,,,1226.906|1230.119,0,0,0,0,0,0,0,0,0,0,,0,0,,
1,,,,78,Front,DD-DDD,2023-09-13 16:18:11,NG,1,Board1,,,NG,C209,0160-9213-0001,,,GOOD,,915.056,457.528,5.685,24.297,-24.297,5.685,0,0,-1.021,2.410,0.872,448.191,93.373,473200.000,113.026,0,0,0,0,,,,,449.396|446.986,0,0,0,0,0,0,0,0,0,0,,0,0,,
1,,,,78,Front,DD-DDD,2023-09-13 16:18:11,NG,1,Board1,,,NG,C210,453564872711-0001,,,GOOD,,1490.370,783.401,-32.470,-44.664,-44.664,32.470,0,0,0.612,10.442,0.084,828.914,101.087,1353200.000,115.900,0,0,0,0,,,,,834.135|823.693,0,0,0,0,0,0,0,0,0,0,,0,0,,
